
 resid_H  resid_F   
   0.00013275000   -0.00013275000 
    0.0085055866    -0.0060155866 
    0.0035428196      0.024214539 
     0.034728851      0.071743537 
     0.054133931       0.10019182 
    0.0021614326       0.10649730 
    -0.056015402      0.089738406 
   -0.0072884386      0.097683525 
     0.049805370       0.17424440 
     0.070338832       0.19984900 
     0.041183450       0.18660752 
     0.077546115       0.18634607 
     0.045683647       0.11947848 
     0.017289169       0.12803261 
     0.064919300       0.11538720 
     0.027225275      0.069388700 
     0.033917383      0.081027146 
      0.10236927       0.12318180 
      0.17615107       0.17683280 
      0.20922177       0.22291220 
      0.27503864       0.26863070 
      0.30708801       0.30806349 
      0.30825846       0.31854267 
      0.31561056       0.32606535 
      0.26623283       0.30447909 
      0.29364133       0.29060864 
      0.27200411       0.27697022 
      0.30000780       0.29782389 
      0.29007822       0.31963883 
      0.31537311       0.31145405 
      0.32977568       0.31078527 
      0.32807770       0.33332240 
      0.32125069       0.32003423 
      0.34761876       0.35380451 
      0.35667383       0.37095133 
      0.37149187       0.38544340 
      0.37328333       0.41909598 
      0.34659160       0.41212917 
      0.36284439       0.42265674 
      0.38560131       0.43136268 
      0.38590495       0.45414905 
      0.38761094       0.48375082 
      0.37235981       0.47295119 
      0.38125899       0.46045477 
      0.40718722       0.49093744 
      0.39697556       0.48607224 
      0.39296984       0.46861064 
      0.37076532       0.43569361 
      0.34947806       0.40904655 
      0.35831579       0.43929275 
      0.37749661       0.45482401 
      0.39591814       0.47163304 
      0.39871961       0.48097371 
      0.39995056       0.47252733 
      0.41143040       0.48256891 
      0.42191595       0.48874732 
      0.43213294       0.48375288 
      0.44342754       0.48154361 
      0.44277474       0.45820721 
      0.46521606       0.48623078 
      0.47868107       0.50376440 
      0.50760108       0.53111402 
      0.52971251       0.54210526 
      0.53888107       0.53968824 
      0.55293499       0.54936375 
      0.55330780       0.53278913 
      0.54378482       0.55653168 
      0.54366890       0.56149227 
      0.56800033       0.56885491 
      0.57754269       0.58873321 
      0.60038236       0.60121303 
      0.61150356       0.65088901 
      0.63662618       0.65484357 
      0.65472560       0.69387346 
      0.67832889       0.71870970 
      0.67869588       0.70680931 
      0.69553078       0.72410150 
      0.70018825       0.71286005 
      0.68643207       0.70112975 
      0.70296697       0.74166994 
      0.70191784       0.71740291 
      0.71816273       0.72420413 
      0.73779939       0.73726454 
      0.75316737       0.76150444 
      0.78764153       0.77024965 
      0.79924310       0.79297189 
      0.83182051       0.82047193 
      0.81803955       0.80792876 
      0.79298607       0.78667069 
      0.74556503       0.75297041 
      0.72123320       0.72138379 
      0.69681987       0.69771392 
      0.71580924       0.72591022 
      0.75321677       0.77136590 
      0.76344863       0.78119801 
      0.77750097       0.76672444 
      0.75982440       0.75640099 
      0.76519475       0.75046165 
      0.76600581       0.77641096 
      0.79593400       0.81322602 
      0.82571418       0.83655679 
      0.86015663       0.85092718 
      0.86605886       0.85185283 
      0.88373771       0.86193553 
      0.88980348       0.87378725 
      0.89861373       0.88170813 
      0.89288665       0.86300663 
      0.92259824       0.88634571 
      0.94548480       0.92642734 
      0.95418987       0.92723923 
      0.96023763       0.91592168 
      0.95896351       0.94149429 
      0.96940925       0.93546002 
      0.97278659       0.94095980 
      0.97713157       0.96198062 
      0.97127026       0.96901454 
      0.98832763       0.94923757 
      0.99054710       0.96401301 
      0.98410280       0.94550391 
      0.94137001       0.89822257 
      0.83116737       0.82179974 
      0.79279405       0.79216352 
      0.83757679       0.81101495 
      0.89046766       0.87518031 
      0.93442681       0.91462136 
      0.98155293       0.94344774 
       1.0129490       0.96695176 
       1.0200998       0.97578810 
       1.0253985       0.94416992 
       1.0325152       0.94740126 
       1.0412934       0.94079397 
       1.0437761       0.95343437 
       1.0546997       0.96382790 
       1.0533092       0.96931070 
       1.0502888       0.96759530 
       1.0372573       0.95099717 
       1.0319240       0.94085971 
       1.0429895       0.95047320 
       1.0452666       0.96235871 
       1.0461571       0.98257038 
       1.0478667       0.95026309 
       1.0606642       0.96260763 
       1.0556042       0.97252990 
       1.0717119       0.98287120 
       1.0744393       0.97333506 
       1.0710499       0.99018328 
       1.0637272       0.98824856 
       1.0467234       0.97523616 
