@nxr	Rel_Inc	NIIY	tby	tradey	totqn	resid_ave	resid_diff	resid_diff2	resid_ECM1	resid_ECM2	resid_ECM3	resid_ECM3srlr	resid_ECM3sr	resid_home	resid_foreign@
-0.1142734	-0.0682666	0.0067309	-0.0105082	0.1123263	-0.1173246	0.0637352	-0.0088262	0.0626866	-0.0042476	0.0016487	-0.0002655	-0.0002655	-0.0013753	0.3040926	0.3038271
-0.1168301	-0.0437367	0.0076077	-0.0106818	0.1126563	-0.1306292	0.0404169	-0.0249454	0.0374292	-0.0206431	-0.0101802	-0.0142739	-0.0142739	-0.016752	0.3123418	0.2980679
-0.0660521	-0.0333161	0.0027747	-0.0078464	0.1127318	-0.0720863	0.0641931	0.0326202	0.0697375	0.0373589	0.0379942	0.034196	0.034196	0.0331519	0.299581	0.333777
-0.0267982	-0.0130751	0.0019988	-0.005858	0.1170533	-0.0437753	0.0751875	0.0154324	0.0848579	0.018318	0.0243556	0.0177621	0.0177621	0.0151518	0.3353891	0.3531512
0	0	0.0021916	-0.0043372	0.1182698	0	0.0765121	0.0080163	0.0925622	0.010526	0.0126891	0.0115843	0.0115843	0.0093213	0.3257491	0.3373334
0.0939197	0.050225	0.0019085	0.0012045	0.1172766	0.0169887	0.1153951	0.0416708	0.1339211	0.0416342	0.0597465	0.0614399	0.0614399	0.0617447	0.2557037	0.3171436
0.1664937	0.0810618	-0.0082878	0.0052641	0.1131462	0.0444961	0.1493413	0.0382671	0.1718763	0.0401544	0.0499868	0.0485807	0.0485807	0.0470027	0.2459314	0.2945121
0.1080505	0.0377305	-0.0023073	0.0019689	0.1135793	0.0145057	0.1427236	-0.0106765	0.1608878	-0.0089561	-0.0247926	-0.0307757	-0.0307757	-0.0400858	0.3488413	0.3180656
0.0849413	-0.0128691	0.0092077	0.0006631	0.1146822	-0.0052133	0.1757991	0.0305135	0.1910894	0.0334537	0.0142943	0.0266735	0.0266735	0.0201862	0.3605533	0.3872268
0.0888289	0.0162234	0.0023227	0.0008957	0.1159358	-0.0549	0.1646669	-0.0180616	0.172716	-0.0125296	0.0014567	0.013614	0.013614	0.0116112	0.3279125	0.3415265
0.0787023	-0.016669	0.0094704	0.0003002	0.1127444	-0.1293548	0.2085206	0.0333146	0.2057187	0.0400876	0.0315425	0.0248049	0.0248049	0.015979	0.2796333	0.3044382
0.0553071	0.0141146	0.0048746	-0.0010478	0.1159735	-0.1019418	0.1465776	-0.0576359	0.1477709	-0.042459	-0.0318266	-0.0266406	-0.0266406	-0.0378749	0.3431498	0.3165092
0.0399641	0.0497069	-0.0046487	-0.0018996	0.1137148	-0.1394745	0.1062727	-0.0454629	0.101996	-0.0369017	-0.020646	-0.0275359	-0.0275359	-0.0360858	0.277421	0.2498851
0.0621798	0.037684	-0.0009063	-0.0006298	0.1124842	-0.191417	0.155223	0.0416922	0.1433762	0.049169	0.0478064	0.0420146	0.0420146	0.0275374	0.2787016	0.3207163
-0.0284423	0.0327609	0.0010175	-0.0057501	0.113045	-0.2474843	0.085404	-0.0776783	0.065386	-0.0645126	-0.0625425	-0.0526728	-0.0526728	-0.0709432	0.3527769	0.300104
-0.0352298	0.0565436	-0.0088555	-0.0058677	0.1081605	-0.2445867	0.0540131	-0.0306567	0.0344174	-0.0182634	-0.008402	-0.0048398	-0.0048398	-0.0202343	0.2707226	0.2658828
-0.0418336	0.0444286	-0.008133	-0.0062631	0.1088448	-0.2487172	0.0606942	0.006391	0.0404965	0.0164456	0.0126347	0.0078409	0.0078409	-0.0119991	0.312521	0.3203619
-0.1129255	0.0096483	-0.0012485	-0.0102998	0.11089	-0.2769227	0.0323712	-0.0321216	0.008063	-0.0218679	-0.0330695	-0.023063	-0.023063	-0.0431048	0.3747402	0.3516771
-0.1730731	-0.0093884	-0.0004227	-0.0139941	0.1141396	-0.3064549	-0.0003753	-0.0367385	-0.0289875	-0.0269954	-0.0318352	-0.018702	-0.018702	-0.0337082	0.3847694	0.3660674
-0.2008768	-0.0460136	0.0043419	-0.0157966	0.1159182	-0.3256059	0.0138704	0.0117666	-0.0175329	0.020988	0.0087526	0.0130555	0.0130555	-0.0008411	0.3491235	0.362179
-0.2574492	-0.0735962	0.0135703	-0.0196482	0.1198639	-0.3291975	-0.0141022	-0.0281841	-0.0460289	-0.0168016	-0.0263297	-0.0191585	-0.0191585	-0.0318724	0.38414	0.3649815
-0.2739823	-0.0800586	0.0125378	-0.0209606	0.1218963	-0.3428852	-0.0202961	-0.0078768	-0.0542177	0.001653	0.0009997	0.0069436	0.0069436	0.0022686	0.3548909	0.3618344
-0.2776251	-0.0761688	0.0129608	-0.0214787	0.123639	-0.3959487	-0.0127995	0.0000752	-0.0544545	0.0091421	0.0149892	0.0093757	0.0093757	0.0036282	0.3262122	0.3355879
-0.2864307	-0.0700691	0.008099	-0.0223904	0.1257974	-0.4177781	-0.0215221	-0.011592	-0.0663584	0.0011384	0.0062328	0.0008766	0.0008766	-0.0081582	0.3324742	0.3333508
-0.2614913	-0.0499303	0.0024767	-0.0204162	0.1230731	-0.4653526	-0.0032469	0.0116536	-0.0550167	0.0244035	0.0366554	0.0285091	0.0285091	0.0154804	0.2762491	0.3047583
-0.3119294	-0.0549212	0.0035952	-0.0238527	0.1253395	-0.4429457	-0.0550404	-0.048216	-0.1035447	-0.0306483	-0.0322179	-0.0386532	-0.0386532	-0.0595363	0.3496455	0.3109922
-0.3165835	-0.0599887	0.0029784	-0.0234873	0.1219825	-0.4079531	-0.064538	-0.0040857	-0.1079425	0.0092059	0.0066871	0.0077906	0.0077906	-0.0074769	0.3024814	0.310272
-0.3256285	-0.0650644	0.0054327	-0.0246868	0.1253789	-0.3427432	-0.0869767	-0.0126233	-0.1208776	-0.0011127	-0.0056478	-0.0068091	-0.0068091	-0.0198277	0.3506369	0.3438278
-0.2936556	-0.0658758	0.004779	-0.0228157	0.1257177	-0.2933676	-0.0681771	0.0263075	-0.094882	0.0328596	0.0306061	0.0315946	0.0315946	0.0255626	0.3146261	0.3462207
-0.324649	-0.0634511	0.0023146	-0.0253074	0.1288389	-0.280342	-0.1052844	-0.034897	-0.130091	-0.03019	-0.0292074	-0.0314503	-0.0314503	-0.0363712	0.3491689	0.3177186
-0.3292663	-0.059124	-0.0013167	-0.0259921	0.1308467	-0.2432815	-0.1247255	-0.013728	-0.1441309	-0.0116602	-0.0114852	-0.0153404	-0.0153404	-0.0186514	0.3400131	0.3246727
-0.3004716	-0.0542395	-0.0011084	-0.0245231	0.132717	-0.2407969	-0.101519	0.0238805	-0.1205623	0.0222192	0.0245027	0.0229314	0.0229314	0.020605	0.3249013	0.3478327
-0.2938282	-0.0440962	0.0050157	-0.0238525	0.1313702	-0.1824316	-0.1215497	-0.0112126	-0.132087	-0.0104388	-0.0094714	-0.0061011	-0.0061011	-0.0097345	0.3196557	0.3135546
-0.2781446	-0.0388968	0.002783	-0.0233156	0.1340184	-0.143526	-0.1220848	0.0054469	-0.126952	0.0016889	0.0015883	0.0073187	0.0073187	0.0126271	0.3523821	0.3597008
-0.254861	-0.0292711	-0.0002329	-0.0222357	0.1366996	-0.1454397	-0.1078849	0.014233	-0.1130309	0.007786	0.0116939	0.0085163	0.0085163	0.0145765	0.3368793	0.3453957
-0.2409946	-0.0310173	0.0101897	-0.0215732	0.1383749	-0.1008812	-0.1048926	0.0097981	-0.1035448	0.0052351	0.0018988	0.0006543	0.0006543	0.0035618	0.3432639	0.3439181
-0.182253	0.0016725	0.0022304	-0.0178552	0.140455	-0.0648813	-0.0890371	0.0214141	-0.0824426	0.0147115	0.025156	0.0328189	0.0328189	0.0452373	0.3312546	0.3640735
-0.1430835	-0.0049481	0.0030534	-0.0150305	0.1394164	-0.0572865	-0.045398	0.0450578	-0.0376968	0.0371165	0.0337214	0.0228699	0.0228699	0.0308217	0.3028944	0.3257644
