@==================================================@
@=============== Foreign Demand     ===============@
@==================================================@
 wH  wF wFH
    0.0011221500    -0.0011221500    -0.0022443000 
    0.0093413426     -0.011264743     -0.020606085 
    0.0054397151      0.020343733      0.014904017 
     0.036835532      0.065829110      0.028993578 
     0.055311930      0.092436844      0.037124914 
    0.0054476591      0.092657596      0.087209937 
    -0.048168040      0.080015343       0.12818338 
   -0.0026625617      0.089898460      0.092561021 
     0.047861115       0.16166662       0.11380550 
     0.071288821       0.18719523       0.11590641 
     0.039760072       0.17066358       0.13090351 
     0.078513642       0.17192521      0.093411563 
     0.052225629       0.10965196      0.057426333 
     0.023893421       0.11630848      0.092415063 
     0.071754427       0.10483878      0.033084353 
     0.039370897      0.065053784      0.025682887 
     0.046707825      0.078936400      0.032228574 
      0.11149880       0.12016613     0.0086673239 
      0.18397321       0.17474019    -0.0092330226 
      0.21413914       0.21962930     0.0054901609 
      0.27506697       0.26051658     -0.014550382 
      0.30649228       0.29847124    -0.0080210463 
      0.30821269       0.30543341    -0.0027792809 
      0.31853389       0.31496458    -0.0035693095 
      0.27366117       0.29330206      0.019640883 
      0.30183733       0.28186910     -0.019968225 
      0.28162716       0.26998921     -0.011637951 
      0.30924191       0.29151821     -0.017723705 
      0.30057085       0.31400079      0.013429937 
      0.32897462       0.31066755     -0.018307073 
      0.34628104       0.31488841     -0.031392625 
      0.34599155       0.33700279    -0.0089887542 
      0.33766379       0.31955269     -0.018111099 
      0.36505546       0.35488283     -0.010172638 
      0.37629331       0.37339447    -0.0028988418 
      0.38720401       0.38107671    -0.0061273053 
      0.39273513       0.41603674      0.023301611 
      0.36635513       0.40906565      0.042710527 
      0.38443886       0.41947647      0.035037611 
      0.40751265       0.43065713      0.023144484 
      0.40678731       0.45127739      0.044490076 
      0.41003928       0.47924964      0.069210360 
      0.39792325       0.47270457      0.074781325 
      0.40811891       0.46167389      0.053554985 
      0.43489049       0.49425970      0.059369213 
      0.42567939       0.48714638      0.061466986 
      0.42313348       0.47102738      0.047893898 
      0.40356876       0.43995117      0.036382414 
      0.38560724       0.41363591      0.028028675 
      0.39670909       0.44516197      0.048452883 
      0.41628184       0.46178042      0.045498582 
      0.43390506       0.47922467      0.045319615 
      0.43887262       0.49279624      0.053923616 
      0.43947794       0.48820902      0.048731078 
      0.45147106       0.50165538      0.050184319 
      0.46266770       0.51152165      0.048853946 
      0.47306780       0.50731866      0.034250866 
      0.48569167       0.50909598      0.023404304 
      0.48774780       0.49029566     0.0025478628 
      0.51037790       0.52217812      0.011800224 
      0.52287704       0.53953045      0.016653404 
      0.55004591       0.56407551      0.014029601 
      0.57426201       0.57690824     0.0026462224 
      0.58285037       0.57500053    -0.0078498382 
      0.59827909       0.58583895     -0.012440140 
      0.60100022       0.57432519     -0.026675031 
      0.59430938       0.60050104     0.0061916650 
      0.59541843       0.60734699      0.011928562 
      0.62161973       0.61847823    -0.0031415040 
      0.63106195       0.64101159     0.0099496368 
      0.65355687       0.65500739     0.0014505215 
      0.66691772       0.70483274      0.037915018 
      0.69292492       0.70968713      0.016762215 
      0.71010927       0.74550785      0.035398581 
      0.73567727       0.77410236      0.038425081 
      0.73711847       0.76361562      0.026497152 
      0.75434248       0.78301112      0.028668640 
      0.76335597       0.78145543      0.018099456 
      0.75108150       0.77298289      0.021901396 
      0.76871279       0.81790911      0.049196318 
      0.76828560       0.79579381      0.027508207 
      0.78751712       0.80752636      0.020009246 
      0.80841315       0.82234924      0.013936094 
      0.82303911       0.84446297      0.021423861 
      0.86134958       0.85869446    -0.0026551129 
      0.87169420       0.87812083     0.0064266366 
      0.90693429       0.90701582   8.1524937e-005 
      0.89503037       0.89634018     0.0013098074 
      0.87579721       0.88180092     0.0060037081 
      0.83070456       0.84954083      0.018836270 
      0.80964012       0.82342843      0.013788313 
      0.79004000       0.80695743      0.016917432 
      0.80805722       0.83130609      0.023248870 
      0.84523977       0.87480524      0.029565473 
      0.85640796       0.88521496      0.028806991 
      0.87169552       0.87314811     0.0014525858 
      0.85444732       0.86285484     0.0084075223 
      0.86220110       0.86323981     0.0010387083 
      0.86342344       0.89052256      0.027099117 
      0.89282925       0.92610291      0.033273658 
      0.92281656       0.94916628      0.026349722 
      0.95678679       0.96445783     0.0076710346 
      0.96322651       0.96709280     0.0038662923 
      0.98088130       0.97970849    -0.0011728137 
      0.98622970       0.99081217     0.0045824698 
      0.99774063        1.0015524     0.0038117660 
      0.99305616       0.98442875    -0.0086274146 
       1.0208816        1.0039344     -0.016947161 
       1.0443510        1.0447530    0.00040200523 
       1.0535577        1.0447184    -0.0088393469 
       1.0602266        1.0341499     -0.026076670 
       1.0610024        1.0588520    -0.0021503419 
       1.0730628        1.0533233     -0.019739508 
       1.0760331        1.0575473     -0.018485858 
       1.0805194        1.0767397    -0.0037797556 
       1.0752048        1.0819903     0.0067855445 
       1.0937809        1.0630557     -0.030725180 
       1.0956021        1.0767504     -0.018851630 
       1.0894152        1.0566459     -0.032769383 
       1.0524997        1.0137958     -0.038703925 
      0.94909750       0.94445311    -0.0046443881 
