@resid_ECM resid_home resid_foreign  			resid_ECMnoInv	resid_homenoInv	resid_foreingnoInv  resid_ECMbench	resid_homebench	resid_foreingbench 1979:1-2015:4@
-0.0022443	0.0630309	0.0607865	0.0016487	0.2985274	0.3001762	-0.0002655	0.3040921	0.3038266
-0.0185358	0.0702149	0.0516791	-0.0101803	0.309309	0.2991287	-0.0142741	0.3123415	0.2980674
0.0339132	0.058731	0.0926442	0.0379942	0.293393	0.3313873	0.0341961	0.2995805	0.3337766
0.0152445	0.0937261	0.1089705	0.0243556	0.3330106	0.3573662	0.017762	0.3353885	0.3531505
0.0103779	0.0832396	0.0936176	0.012689	0.3167405	0.3294295	0.0115841	0.3257485	0.3373327
0.0529618	0.0163307	0.0692925	0.0597466	0.2469107	0.3066572	0.0614398	0.2557034	0.3171432
0.0477314	0.0087152	0.0564466	0.0499868	0.238967	0.2889538	0.0485807	0.245931	0.2945117
-0.0256893	0.1036816	0.0779923	-0.0247925	0.3452381	0.3204455	-0.0307757	0.3488407	0.3180651
0.0284171	0.1122261	0.1406432	0.0142943	0.3379603	0.3522545	0.0266735	0.3605527	0.3872262
0.0109198	0.0890453	0.0999651	0.0014567	0.3099731	0.3114298	0.0136141	0.3279122	0.3415263
0.0239788	0.0359043	0.0598831	0.0315425	0.2798284	0.3113709	0.0248047	0.2796326	0.3044373
-0.0273481	0.1037434	0.0763953	-0.0318267	0.3312054	0.2993787	-0.0266406	0.3431496	0.316509
-0.0287467	0.0417049	0.0129582	-0.020646	0.2791956	0.2585496	-0.0275359	0.2774208	0.2498849
0.0394386	0.0376236	0.0770623	0.0478064	0.2783997	0.3262061	0.0420145	0.2787009	0.3207155
-0.0521694	0.1116213	0.0594519	-0.0625424	0.3375495	0.2750071	-0.0526728	0.3527764	0.3001036
-0.0048378	0.0350856	0.0302478	-0.008402	0.2612224	0.2528204	-0.0048397	0.2707223	0.2658826
0.0085358	0.0722966	0.0808324	0.0126347	0.3102274	0.3228621	0.0078409	0.3125205	0.3203614
-0.0210638	0.1303192	0.1092553	-0.0330695	0.3569942	0.3239246	-0.023063	0.3747398	0.3516768
-0.0172288	0.1430234	0.1257946	-0.0318352	0.3644914	0.3326562	-0.0187018	0.3847689	0.3660671
0.0140075	0.1063311	0.1203387	0.0087526	0.3368742	0.3456268	0.0130554	0.3491227	0.3621781
-0.0196152	0.1394306	0.1198154	-0.0263297	0.3689708	0.3426411	-0.0191584	0.3841394	0.364981
0.0054018	0.1146495	0.1200512	0.0009996	0.341824	0.3428236	0.0069436	0.3548905	0.361834
0.0046201	0.0873798	0.0919999	0.0149892	0.3266898	0.341679	0.0093756	0.3262117	0.3355872
-0.0010054	0.0961139	0.0951084	0.0062328	0.3322347	0.3384675	0.0008767	0.3324737	0.3333504
0.0229336	0.0417198	0.0646533	0.0366554	0.2803596	0.3170151	0.028509	0.2762486	0.3047576
-0.0380872	0.1112914	0.0732042	-0.032218	0.3490462	0.3168283	-0.0386533	0.3496451	0.3109918
0.0067828	0.0650885	0.0718713	0.0066871	0.2938691	0.3005562	0.0077905	0.3024806	0.3102711
-0.0069877	0.1113473	0.1043596	-0.0056478	0.3430101	0.3373624	-0.0068091	0.3506365	0.3438274
