@=================================================@
@=============  NXR Decomposition  ===============@
@=================================================@
 @============ Whole Sample ==============@

@ = nxr Level Diff SR  SR/LR  (%) 
 BC_componets       51.493268        43.590249        40.156523        76.779832 
 Wedge_components       31.557708        30.625201        26.777467        16.765065 
 Joint_componets       16.949024        25.784550        33.066010        6.4551022 

@=========  Since 1991:1  ============ @

@ = nxr Level Diff SR  SR/LR  (%) 
 BC_componets       66.807659        53.601798        42.236774        93.150064 
 Wedge_components       28.053870        22.793066        20.522874        13.864083 
 Joint_componets       5.1384703        23.605136        37.240352       -7.0141470 

@=================================================@
@============ NXR and BC components ==============@
@=================================================@
  nxr static  dynamic
     -0.11427340      -0.17800860      -0.11400790 
     -0.11683010      -0.15724700      -0.10230893 
    -0.066052100      -0.13024520     -0.086723820 
    -0.026798200      -0.10198570     -0.063812886 
      0.00000000     -0.076512100     -0.046057890 
     0.093919700     -0.021475400     -0.010416170 
      0.16649370      0.017152400      0.020739892 
      0.10805050     -0.034673100     0.0030785363 
     0.084941300     -0.090857800     -0.039497733 
     0.088828900     -0.075838000     -0.040681269 
     0.078702300      -0.12981830     -0.066721767 
     0.055307100     -0.091270500     -0.053492859 
     0.039964100     -0.066308600     -0.033830733 
     0.062179800     -0.093043200     -0.048563544 
    -0.028442300      -0.11384630     -0.078910203 
    -0.035229800     -0.089242900     -0.077393231 
    -0.041833600      -0.10252780     -0.088943369 
     -0.11292550      -0.14529670      -0.13373814 
     -0.17307310      -0.17269780      -0.17375493 
     -0.20087680      -0.21474720      -0.21456732 
     -0.25744920      -0.24334700      -0.25104135 
     -0.27398230      -0.25368620      -0.27495796 
     -0.27762510      -0.26482560      -0.28790948 
     -0.28643070      -0.26490860      -0.29688564 
     -0.26149130      -0.25824440      -0.29973760 
     -0.31192940      -0.25688900      -0.30889686 
     -0.31658350      -0.25204550      -0.32154974 
     -0.32562850      -0.23865180      -0.32344470 
     -0.29365560      -0.22547850      -0.32321632 
     -0.32464900      -0.21936460      -0.32073005 
     -0.32926630      -0.20454080      -0.31027599 
     -0.30047160      -0.19895260      -0.30571639 
     -0.29382820      -0.17227850      -0.29261183 
     -0.27814460      -0.15605980      -0.28433044 
     -0.25486100      -0.14697610      -0.26913848 
     -0.24099460      -0.13610200      -0.25494621 
     -0.18225300     -0.093215900      -0.22806572 
     -0.14308350     -0.097685500      -0.20862103 
     -0.14681340      -0.10638140      -0.20662571 
     -0.14693700     -0.096790200      -0.19269834 
     -0.12213260      -0.10494980      -0.19037668 
    -0.084040900     -0.096421400      -0.18018075 
    -0.072376700      -0.10147030      -0.17296816 
    -0.075478700     -0.086038100      -0.15467455 
    -0.064082000     -0.082974700      -0.14783228 
    -0.050073700     -0.076143800      -0.13917044 
    -0.038351600     -0.041245100      -0.11399246 
   -0.0024555000      0.014076500     -0.067383837 
     0.015197500      0.027859000     -0.044371041 
     0.033259900      0.011677100     -0.047717001 
     0.028950600     0.0061567000     -0.048376656 
     0.029370600     0.0079975000     -0.046344163 
     0.040072600     0.0077248000     -0.042181369 
     0.024109100     -0.021609700     -0.048467551 
     0.029482400     -0.018139700     -0.041655892 
     0.010885500     -0.054786500     -0.055945677 
   -0.0082691000     -0.066347500     -0.059888850 
    -0.016812400     -0.062230600     -0.054928402 
    -0.032539600     -0.061554800     -0.047972001 
    -0.040102500     -0.092309500     -0.061117151 
    -0.053504400      -0.11670510     -0.078587774 
    -0.056750600      -0.11232330     -0.080263475 
    -0.047837700     -0.080535400     -0.060230393 
    -0.052739500     -0.087645800     -0.053546722 
    -0.055310500     -0.089662100     -0.051739306 
    -0.050875100     -0.068436100     -0.030356572 
    -0.011966800     -0.075148200     -0.024713889 
    -0.010521100     -0.089531600     -0.028344789 
    -0.030442900     -0.092482300     -0.031297775 
    -0.036464600      -0.11957120     -0.047655387 
    -0.060332700      -0.13390730     -0.061163628 
    -0.019340900      -0.12486830     -0.058726684 
    -0.042284700      -0.13159790     -0.060502410 
    -0.036213000      -0.14879900     -0.075361146 
    -0.049518300      -0.16199660     -0.089899387 
    -0.072195800      -0.17999170      -0.10030949 
     -0.10445380      -0.22170650      -0.13302485 
     -0.13809340      -0.23637060      -0.15076552 
     -0.15612330      -0.26536920      -0.17082127 
     -0.15154880      -0.27681380      -0.19025204 
     -0.19074720      -0.28671820      -0.20623252 
     -0.20888530      -0.28463870      -0.21492694 
     -0.21652190      -0.28031520      -0.21598717 
     -0.21592710      -0.27870520      -0.22426438 
     -0.24011290      -0.26115190      -0.22272122 
     -0.24181770      -0.28244020      -0.23554668 
     -0.25152620      -0.26620670      -0.24017779 
     -0.25977090      -0.27757920      -0.24966027 
     -0.25864370      -0.27079910      -0.25232847 
     -0.26227000      -0.29295080      -0.26967552 
     -0.29180460      -0.30163740      -0.29195532 
     -0.30965550      -0.31189580      -0.31054968 
     -0.31769760      -0.31663940      -0.32779869 
     -0.32159570      -0.29743310      -0.33974484 
     -0.32917500      -0.29090770      -0.34692438 
     -0.36372720      -0.28938390      -0.35295067 
     -0.35570650      -0.28070480      -0.35228309 
     -0.37254290      -0.28762910      -0.35780971 
     -0.35901750      -0.30793150      -0.36942256 
     -0.35116430      -0.29968410      -0.36845614 
     -0.35163530      -0.28507930      -0.36247774 
     -0.37909260      -0.29934050      -0.36986289 
     -0.38339120      -0.29965450      -0.36918492 
     -0.38275520      -0.29542670      -0.36095270 
     -0.37921240      -0.30721220      -0.36319596 
     -0.37230550      -0.30023570      -0.35539971 
     -0.37379090      -0.29765640      -0.34391071 
     -0.37571230      -0.29273240      -0.33945961 
     -0.36041590      -0.29300250      -0.34135829 
     -0.35402300      -0.27965710      -0.32707222 
     -0.36365800      -0.27459590      -0.31934192 
     -0.32276190      -0.26038070      -0.30529256 
     -0.32244670      -0.24372300      -0.28849735 
     -0.30949100      -0.23323520      -0.27766410 
     -0.27877840      -0.21498370      -0.26362735 
     -0.23607040      -0.18022160      -0.23381459 
     -0.23328440      -0.13600040      -0.19419425 
     -0.19472880      -0.11831010      -0.16819463 
     -0.18770980      -0.10532870      -0.14911073 
     -0.20250810      -0.13258220      -0.15936049 
     -0.18437170      -0.16346590      -0.17500392 
     -0.14007920      -0.10322380      -0.13944853 
     -0.14239570     -0.062076700      -0.11583372 
     -0.13045910     -0.057143000      -0.11517163 
     -0.14113510     -0.052801800      -0.12132953 
     -0.16460880     -0.067643300      -0.12650350 
     -0.17139420     -0.076100700      -0.12539687 
     -0.14758300     -0.053155500      -0.10327123 
     -0.15003450     -0.026585800     -0.068805878 
     -0.14234450     -0.034001400     -0.057230504 
     -0.13994090     -0.022910500     -0.039441365 
     -0.14109510     -0.066428500     -0.050753258 
     -0.14026990     -0.068479900     -0.049398016 
     -0.13396280     -0.087684500     -0.049964262 
     -0.13064930     -0.093755000     -0.047955746 
     -0.12227810     -0.087283100     -0.036017941 
     -0.12179580     -0.093917800     -0.030731487 
     -0.12304890     -0.098126200     -0.030532543 
     -0.11882370      -0.10999510     -0.035915784 
    -0.095458800      -0.10440050     -0.031871995 
     -0.11962090     -0.097679400     -0.022017393 
     -0.11924960      -0.10705130     -0.021193071 
     -0.11287240      -0.12169940     -0.029798250 
     -0.12406070      -0.13290730     -0.035220173 
     -0.15672280      -0.16297310     -0.055618664 
     -0.15173820      -0.17802940     -0.070871564 
     -0.15571700      -0.18587420     -0.080238440 
     -0.15894530      -0.18945820     -0.087458318 


@=================================================@
@============ NXR and TW components ==============@
@=================================================@
  nxr static  dynamic
     -0.11427340      0.063735200   -0.00026550000 
     -0.11683010      0.040416900     -0.014521173 
    -0.066052100      0.064193100      0.020671720 
    -0.026798200      0.075187500      0.037014686 
      0.00000000      0.076512100      0.046057890 
     0.093919700       0.11539510       0.10433587 
      0.16649370       0.14934130       0.14575381 
      0.10805050       0.14272360       0.10497196 
     0.084941300       0.17579910       0.12443903 
     0.088828900       0.16466690       0.12951017 
     0.078702300       0.20852060       0.14542407 
     0.055307100       0.14657760       0.10879996 
     0.039964100       0.10627270      0.073794833 
     0.062179800       0.15522300       0.11074334 
    -0.028442300      0.085404000      0.050467903 
    -0.035229800      0.054013100      0.042163431 
    -0.041833600      0.060694200      0.047109769 
     -0.11292550      0.032371200      0.020812636 
     -0.17307310   -0.00037530000    0.00068182799 
     -0.20087680      0.013870400      0.013690520 
     -0.25744920     -0.014102200    -0.0064078481 
     -0.27398230     -0.020296100    0.00097565712 
     -0.27762510     -0.012799500      0.010284377 
     -0.28643070     -0.021522100      0.010454944 
     -0.26149130    -0.0032469000      0.038246302 
     -0.31192940     -0.055040400    -0.0030325448 
     -0.31658350     -0.064538000     0.0049662424 
     -0.32562850     -0.086976700    -0.0021837951 
     -0.29365560     -0.068177100      0.029560725 
     -0.32464900      -0.10528440    -0.0039189487 
     -0.32926630      -0.12472550     -0.018990309 
     -0.30047160      -0.10151900     0.0052447948 
     -0.29382820      -0.12154970    -0.0012163656 
     -0.27814460      -0.12208480     0.0061858391 
     -0.25486100      -0.10788490      0.014277475 
     -0.24099460      -0.10489260      0.013951612 
     -0.18225300     -0.089037100      0.045812720 
     -0.14308350     -0.045398000      0.065537531 
     -0.14681340     -0.040432000      0.059812314 
     -0.14693700     -0.050146800      0.045761339 
     -0.12213260     -0.017182800      0.068244077 
    -0.084040900      0.012380500      0.096139853 
    -0.072376700      0.029093600       0.10059146 
    -0.075478700      0.010559400      0.079195852 
    -0.064082000      0.018892700      0.083750277 
    -0.050073700      0.026070100      0.089096737 
    -0.038351600     0.0028935000      0.075640857 
   -0.0024555000     -0.016532000      0.064928337 
     0.015197500     -0.012661500      0.059568541 
     0.033259900      0.021582800      0.080976901 
     0.028950600      0.022793900      0.077327256 
     0.029370600      0.021373100      0.075714763 
     0.040072600      0.032347800      0.082253969 
     0.024109100      0.045718800      0.072576651 
     0.029482400      0.047622100      0.071138292 
     0.010885500      0.065672000      0.066831177 
   -0.0082691000      0.058078400      0.051619750 
    -0.016812400      0.045418200      0.038116002 
    -0.032539600      0.029015200      0.015432401 
    -0.040102500      0.052207000      0.021014651 
    -0.053504400      0.063200700      0.025083374 
    -0.056750600      0.055572700      0.023512875 
    -0.047837700      0.032697700      0.012392693 
    -0.052739500      0.034906300    0.00080722215 
    -0.055310500      0.034351600    -0.0035711945 
    -0.050875100      0.017561000     -0.020518528 
    -0.011966800      0.063181400      0.012747089 
    -0.010521100      0.079010500      0.017823689 
    -0.030442900      0.062039400    0.00085487464 
    -0.036464600      0.083106600      0.011190787 
    -0.060332700      0.073574600    0.00083092795 
    -0.019340900       0.10552740      0.039385784 
    -0.042284700      0.089313200      0.018217710 
    -0.036213000       0.11258600      0.039148146 
    -0.049518300       0.11247830      0.040381087 
    -0.072195800       0.10779590      0.028113685 
     -0.10445380       0.11725270      0.028571052 
     -0.13809340      0.098277200      0.012672121 
     -0.15612330       0.10924590      0.014697967 
     -0.15154880       0.12526500      0.038703237 
     -0.19074720      0.095971000      0.015485321 
     -0.20888530      0.075753400     0.0060416384 
     -0.21652190      0.063793300   -0.00053472608 
     -0.21592710      0.062778100     0.0083372834 
     -0.24011290      0.021039000     -0.017391679 
     -0.24181770      0.040622500    -0.0062710233 
     -0.25152620      0.014680500     -0.011348411 
     -0.25977090      0.017808300     -0.010110631 
     -0.25864370      0.012155400    -0.0063152265 
     -0.26227000      0.030680800     0.0074055201 
     -0.29180460     0.0098328000    0.00015072375 
     -0.30965550     0.0022403000    0.00089417642 
     -0.31769760    -0.0010582000      0.010101090 
     -0.32159570     -0.024162600      0.018149140 
     -0.32917500     -0.038267300      0.017749384 
     -0.36372720     -0.074343300     -0.010776529 
     -0.35570650     -0.075001700    -0.0034234097 
     -0.37254290     -0.084913800     -0.014733189 
     -0.35901750     -0.051086000      0.010405059 
     -0.35116430     -0.051480200      0.017291841 
     -0.35163530     -0.066556000      0.010842439 
     -0.37909260     -0.079752100    -0.0092297052 
     -0.38339120     -0.083736700     -0.014206277 
     -0.38275520     -0.087328500     -0.021802502 
     -0.37921240     -0.072000200     -0.016016438 
     -0.37230550     -0.072069800     -0.016905794 
     -0.37379090     -0.076134500     -0.029880194 
     -0.37571230     -0.082979900     -0.036252689 
     -0.36041590     -0.067413400     -0.019057605 
     -0.35402300     -0.074365900     -0.026950782 
     -0.36365800     -0.089062100     -0.044316084 
     -0.32276190     -0.062381200     -0.017469340 
     -0.32244670     -0.078723700     -0.033949353 
     -0.30949100     -0.076255800     -0.031826896 
     -0.27877840     -0.063794700     -0.015151047 
     -0.23607040     -0.055848800    -0.0022558128 
     -0.23328440     -0.097284000     -0.039090149 
     -0.19472880     -0.076418700     -0.026534171 
     -0.18770980     -0.082381100     -0.038599074 
     -0.20250810     -0.069925900     -0.043147609 
     -0.18437170     -0.020905800    -0.0093677823 
     -0.14007920     -0.036855400   -0.00063067464 
     -0.14239570     -0.080319000     -0.026561978 
     -0.13045910     -0.073316100     -0.015287472 
     -0.14113510     -0.088333300     -0.019805572 
     -0.16460880     -0.096965500     -0.038105299 
     -0.17139420     -0.095293500     -0.045997332 
     -0.14758300     -0.094427500     -0.044311770 
     -0.15003450      -0.12344870     -0.081228622 
     -0.14234450      -0.10834310     -0.085113996 
     -0.13994090      -0.11703040      -0.10049954 
     -0.14109510     -0.074666600     -0.090341842 
     -0.14026990     -0.071790000     -0.090871884 
     -0.13396280     -0.046278300     -0.083998538 
     -0.13064930     -0.036894300     -0.082693554 
     -0.12227810     -0.034995000     -0.086260159 
     -0.12179580     -0.027878000     -0.091064313 
     -0.12304890     -0.024922700     -0.092516357 
     -0.11882370    -0.0088286000     -0.082907916 
    -0.095458800     0.0089417000     -0.063586805 
     -0.11962090     -0.021941500     -0.097603507 
     -0.11924960     -0.012198300     -0.098056529 
     -0.11287240     0.0088270000     -0.083074150 
     -0.12406070     0.0088466000     -0.088840527 
     -0.15672280     0.0062503000      -0.10110414 
     -0.15173820      0.026291200     -0.080866636 
     -0.15571700      0.030157200     -0.075478560 
     -0.15894530      0.030512900     -0.071486982 

@=================================================@
@=============  TBY Decomposition ================@
@=================================================@

@==========================@
@===  Whole Sample ========@
@==========================@

         INITIAL 
 BC       16.421350 
 Wedge       58.032019 
 Joint       25.546631 
 TRY0       11.232630 

         AVERAGE 
 BC       51.955006 
 Wedge       48.096332 
 Joint    -0.051338427 
 TRY0       19.979781 

          YEAR86 
 BC       21.836709 
 Wedge       54.504531 
 Joint       23.658761 
 TRY0       12.953008 

 TBY Business Cycle Components

     -0.64030428 
     -0.57459916 
     -0.48706829 
     -0.35839327 
     -0.25867562 
    -0.058500493 
      0.11648176 
     0.017290030 
     -0.22183171 
     -0.22847882 
     -0.37473046 
     -0.30043275 
     -0.19000405 
     -0.27274816 
     -0.44318456 
     -0.43466476 
     -0.49953398 
     -0.75111550 
     -0.97586241 
      -1.2050777 
      -1.4099273 
      -1.5442505 
      -1.6169903 
      -1.6674033 
      -1.6834208 
      -1.7348620 
      -1.8059246 
      -1.8165673 
      -1.8152847 
      -1.8013210 
      -1.7426077 
      -1.7169996 
      -1.6434002 
      -1.5968893 
      -1.5115665 
      -1.4318582 
      -1.2808889 
      -1.1716814 
      -1.1604751 
      -1.0822546 
      -1.0692154 
      -1.0119519 
     -0.97144365 
     -0.86870101 
     -0.83027264 
     -0.78162501 
     -0.64021755 
     -0.37844885 
     -0.24920174 
     -0.26799371 
     -0.27169854 
     -0.26028342 
     -0.23690385 
     -0.27220904 
     -0.23395261 
     -0.31420854 
     -0.33635464 
     -0.30849521 
     -0.26942587 
     -0.34325317 
     -0.44137369 
     -0.45078496 
     -0.33827286 
     -0.30073526 
     -0.29058424 
     -0.17049207 
     -0.13880099 
     -0.15919326 
     -0.17577816 
     -0.26764766 
     -0.34351420 
     -0.32982756 
     -0.33980060 
     -0.42325194 
     -0.50490328 
     -0.56336967 
     -0.74710947 
     -0.84674666 
     -0.95938605 
      -1.0685154 
      -1.1582668 
      -1.2070974 
      -1.2130520 
      -1.2595394 
      -1.2508725 
      -1.3229043 
      -1.3489141 
      -1.4021707 
      -1.4171562 
      -1.5145827 
      -1.6397131 
      -1.7441448 
      -1.8410207 
      -1.9081140 
      -1.9484366 
      -1.9822821 
      -1.9785328 
      -2.0095720 
      -2.0747935 
      -2.0693658 
      -2.0357892 
      -2.0772665 
      -2.0734588 
      -2.0272241 
      -2.0398229 
      -1.9960367 
      -1.9315109 
      -1.9065121 
      -1.9171757 
      -1.8369406 
      -1.7935248 
      -1.7146192 
      -1.6202920 
      -1.5594491 
      -1.4806143 
      -1.3131764 
      -1.0906561 
     -0.94463402 
     -0.83745281 
     -0.89501872 
     -0.98287713 
     -0.78318684 
     -0.65055867 
     -0.64684014 
     -0.68142485 
     -0.71048351 
     -0.70426831 
     -0.58000376 
     -0.38643548 
     -0.32142454 
     -0.22151513 
     -0.28504629 
     -0.27743482 
     -0.28061503 
     -0.26933457 
     -0.20228810 
     -0.17259771 
     -0.17148038 
     -0.20171435 
     -0.17900316 
     -0.12365661 
     -0.11902696 
     -0.16735636 
     -0.19780759 
     -0.31237194 
     -0.39803703 
     -0.45064435 
     -0.49119347 

@==========================@
@===  Since 1991:1 ========@
@==========================@

         INITIAL 
 BC        24.026494 
 Wedge        42.744233 
 Joint        36.763465 
 TRY0        11.232630 

         AVERAGE 
 BC        76.016688 
 Wedge        28.685574 
 Joint       -1.1680695 
 TRY0        19.979781 

          YEAR86 
 BC        31.949842 
 Wedge        37.677186 
 Joint        33.907164 
 TRY0        12.953008 


