="Short-run Income and Price Estimates with Alternative Measures of US Final Demand"

="",="Benchmark",="C_Goods",="Investment",="CD+ID",="CgID"

="g_SR",="",="",="",="",=""
="_cons",="-0.189***",="-0.274***",="-0.229***",="-0.215***",="-0.201***"
="",="(0.0232)",="(0.0346)",="(0.0249)",="(0.0225)",="(0.0273)"

="gy_SR",="",="",="",="",=""
="_cons",="0.655***",="0.109",="0.332***",="0.496***",="0.556**"
="",="(0.145)",="(0.144)",="(0.0598)",="(0.0790)",="(0.198)"

="alp",="",="",="",="",=""
="_cons",="",="",="",="",="0.620***"
="",="",="",="",="",="(0.121)"

="N",="148",="148",="148",="148",="148"
="rmse",="0.0208",="0.0232",="0.0209",="0.0209",="0.0207"
="r2_a",="0.306",="0.135",="0.298",="0.293",="0.306"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
