="Error Correction Model with extended window"

="",="IPROW",="IPROW",="DEMAND1",="DEMAND2",="DEMAND3",="DEMAND4"

="adj",="",="",="",="",="",=""
="_cons",="0.0688***",="0.0753***",="0.0777***",="0.0813***",="0.0730***",="0.0733***"
="",="(0.0171)",="(0.0187)",="(0.0170)",="(0.0172)",="(0.0180)",="(0.0184)"

="beta1",="",="",="",="",="",=""
="_cons",="-0.0177",="-0.0217",="-0.0149",="-0.0135",="0.0145",="0.0148"
="",="(0.0334)",="(0.0286)",="(0.0299)",="(0.0276)",="(0.0307)",="(0.0309)"

="g_LR",="",="",="",="",="",=""
="_cons",="-1.124***",="-0.977***",="-0.938***",="-0.867***",="-0.949***",="-0.940***"
="",="(0.194)",="(0.172)",="(0.161)",="(0.146)",="(0.140)",="(0.143)"

="g_LRNII",="",="",="",="",="",=""
="_cons",="9.907**",="10.61**",="9.695***",="10.08***",="",=""
="",="(3.536)",="(3.524)",="(2.336)",="(2.383)",="",=""

="g_SR",="",="",="",="",="",=""
="_cons",="-0.205***",="-0.203***",="-0.173***",="-0.172***",="-0.169***",="-0.169***"
="",="(0.0258)",="(0.0266)",="(0.0230)",="(0.0232)",="(0.0233)",="(0.0235)"

="dniiy2",="",="",="",="",="",=""
="_cons",="1.349***",="1.382***",="1.312***",="1.331***",="0.991***",="0.990***"
="",="(0.285)",="(0.287)",="(0.247)",="(0.248)",="(0.172)",="(0.174)"

="dniiy1",="",="",="",="",="",=""
="_cons",="-1.533***",="-1.516***",="-1.094***",="-1.085***",="-1.149***",="-1.148***"
="",="(0.180)",="(0.177)",="(0.163)",="(0.162)",="(0.153)",="(0.155)"

="IncSR",="",="",="",="",="",=""
="_cons",="0.573***",="0.587***",="0.687***",="0.695***",="0.668***",="0.669***"
="",="(0.144)",="(0.145)",="(0.120)",="(0.120)",="(0.148)",="(0.149)"

="INCLR",="",="",="",="",="",=""
="_cons",="",="1.291***",="",="1.146***",="",="1.018***"
="",="",="(0.102)",="",="(0.0665)",="",="(0.0642)"

="N",="149",="149",="149",="149",="149",="149"
="rmse",="0.0187",="0.0187",="0.0178",="0.0178",="0.0180",="0.0180"
="r2_a",="0.437",="0.436",="0.490",="0.488",="0.481",="0.477"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
