="Error Correction Estimates with Alternative Measures of US Final Demand"

="",="Benchmark",="C_Goods",="Investment",="CD+ID",="RelPrices"

="adj",="",="",="",="",=""
="_cons",="0.0687***",="0.0851***",="0.0430*",="0.0616***",="0.0675***"
="",="(0.0173)",="(0.0166)",="(0.0175)",="(0.0114)",="(0.0165)"

="beta1",="",="",="",="",=""
="_cons",="-0.0174",="0.0213",="-0.0296",="4.787***",="-0.0207"
="",="(0.0335)",="(0.0285)",="(0.0364)",="(0.0162)",="(0.0627)"

="g_LR",="",="",="",="",=""
="_cons",="-1.124***",="-1.112***",="-1.608***",="-1.298***",="-1.143***"
="",="(0.195)",="(0.150)",="(0.372)",="(0.164)",="(0.195)"

="g_LRNII",="",="",="",="",=""
="_cons",="9.985**",="-2.673",="30.28***",="11.38*",="10.57***"
="",="(3.538)",="(3.567)",="(6.997)",="(4.370)",="(2.399)"

="g_SR",="",="",="",="",=""
="_cons",="-0.204***",="-0.234***",="-0.233***",="-0.247***",="-0.218***"
="",="(0.0256)",="(0.0301)",="(0.0294)",="(0.0251)",="(0.0245)"

="IncSR",="",="",="",="",=""
="_cons",="0.576***",="0.303",="0.495***",="0.377***",="0.583***"
="",="(0.144)",="(0.190)",="(0.0626)",="(0.0394)",="(0.125)"

="dniiy1",="",="",="",="",=""
="_cons",="1.530***",="3.413***",="-0.384",="2.135***",="1.396***"
="",="(0.181)",="(0.891)",="(0.238)",="(0.359)",="(0.164)"

="dniiy2",="",="",="",="",=""
="_cons",="-1.351***",="-1.129**",="-1.415***",="-1.354***",="-1.302***"
="",="(0.285)",="(0.350)",="(0.304)",="(0.320)",="(0.234)"

="g_pgSR1",="",="",="",="",=""
="_cons",="",="",="",="",="-0.0709"
="",="",="",="",="",="(0.637)"

="g_pgSR2",="",="",="",="",=""
="_cons",="",="",="",="",="-0.677"
="",="",="",="",="",="(0.461)"

="N",="148",="148",="148",="148",="148"
="rmse",="0.0187",="0.0196",="0.0186",="0.0186",="0.0187"
="r2_a",="0.437",="0.386",="0.448",="0.445",="0.439"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
