="Error Correction Model with extended window"

="",="Level",="Differences",="ECM1",="ECM2",="ECM3",="nn1_post79LNI"

="beta1",="",="",="",="",="",=""
="_cons",="0.223**",="-0.0765**",="-0.000403",="-0.000406",="0.00799",="-0.0177"
="",="(0.0773)",="(0.0275)",="(0.000797)",="(0.0347)",="(0.0374)",="(0.0334)"

="g_SR",="",="",="",="",="",=""
="_cons",="",="-0.283*",="-0.139***",="-0.120***",="-0.181***",="-0.205***"
="",="",="(0.112)",="(0.0287)",="(0.0236)",="(0.0275)",="(0.0258)"

="adj",="",="",="",="",="",=""
="_cons",="",="",="",="0.0661***",="0.0668***",="0.0688***"
="",="",="",="",="(0.0183)",="(0.0187)",="(0.0171)"

="g_LR",="",="",="",="",="",=""
="_cons",="",="",="",="-1.026***",="-1.092***",="-1.124***"
="",="",="",="",="(0.132)",="(0.171)",="(0.194)"

="IncSR",="",="",="",="",="",=""
="_cons",="",="",="",="",="0.607***",="0.573***"
="",="",="",="",="",="(0.146)",="(0.144)"

="g_LRNII",="",="",="",="",="",=""
="_cons",="",="",="",="",="",="9.907**"
="",="",="",="",="",="",="(3.536)"

="dniiy2",="",="",="",="",="",=""
="_cons",="",="",="",="",="",="1.349***"
="",="",="",="",="",="",="(0.285)"

="dniiy1",="",="",="",="",="",=""
="_cons",="",="",="",="",="",="-1.533***"
="",="",="",="",="",="",="(0.180)"

="N",="148",="148",="149",="149",="149",="149"
="rmse",="0.348",="0.0750",="0.0214",="0.0201",="0.0191",="0.0187"
="r2_a",="-5.823",="0.682",="0.261",="0.352",="0.411",="0.437"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
